Date(UTC),UnixTimeStamp,Value,
7/30/15,1438214400,0,
7/31/15,1438300800,0,
8/1/15,1438387200,0,
8/2/15,1438473600,0,
8/3/15,1438560000,0,
8/4/15,1438646400,0,
8/5/15,1438732800,0,
8/6/15,1438819200,0,
8/7/15,1438905600,2.77,
8/8/15,1438992000,0.81,
8/9/15,1439078400,0.74,
8/10/15,1439164800,0.68,
8/11/15,1439251200,1.06,
8/12/15,1439337600,1.25,
8/13/15,1439424000,1.78,
8/14/15,1439510400,1.8,
8/15/15,1439596800,1.79,
8/16/15,1439683200,1.37,
8/17/15,1439769600,1.2,
8/18/15,1439856000,1.27,
8/19/15,1439942400,1.26,
8/20/15,1440028800,1.48,
8/21/15,1440115200,1.44,
8/22/15,1440201600,1.39,
8/23/15,1440288000,1.35,
8/24/15,1440374400,1.24,
8/25/15,1440460800,1.17,
8/26/15,1440547200,1.16,
8/27/15,1440633600,1.13,
8/28/15,1440720000,1.3,
8/29/15,1440806400,1.18,
8/30/15,1440892800,1.32,
8/31/15,1440979200,1.35,
9/1/15,1441065600,1.35,
9/2/15,1441152000,1.29,
9/3/15,1441238400,1.26,
9/4/15,1441324800,1.27,
9/5/15,1441411200,1.37,
9/6/15,1441497600,1.3,
9/7/15,1441584000,1.24,
9/8/15,1441670400,1.23,
9/9/15,1441756800,1.21,
9/10/15,1441843200,1.16,
9/11/15,1441929600,0.98,
9/12/15,1442016000,1.04,
9/13/15,1442102400,0.94,
9/14/15,1442188800,0.87,
9/15/15,1442275200,0.94,
9/16/15,1442361600,0.9,
9/17/15,1442448000,0.89,
9/18/15,1442534400,0.85,
9/19/15,1442620800,0.89,
9/20/15,1442707200,0.94,
9/21/15,1442793600,0.9,
9/22/15,1442880000,0.9,
9/23/15,1442966400,0.9,
9/24/15,1443052800,0.81,
9/25/15,1443139200,0.74,
9/26/15,1443225600,0.78,
9/27/15,1443312000,0.72,
9/28/15,1443398400,0.59,
9/29/15,1443484800,0.68,
9/30/15,1443571200,0.72,
10/1/15,1443657600,0.68,
10/2/15,1443744000,0.68,
10/3/15,1443830400,0.69,
10/4/15,1443916800,0.67,
10/5/15,1444003200,0.63,
10/6/15,1444089600,0.66,
10/7/15,1444176000,0.61,
10/8/15,1444262400,0.62,
10/9/15,1444348800,0.65,
10/10/15,1444435200,0.63,
10/11/15,1444521600,0.63,
10/12/15,1444608000,0.63,
10/13/15,1444694400,0.6,
10/14/15,1444780800,0.51,
10/15/15,1444867200,0.56,
10/16/15,1444953600,0.53,
10/17/15,1445040000,0.55,
10/18/15,1445126400,0.52,
10/19/15,1445212800,0.49,
10/20/15,1445299200,0.44,
10/21/15,1445385600,0.44,
10/22/15,1445472000,0.59,
10/23/15,1445558400,0.52,
10/24/15,1445644800,0.57,
10/25/15,1445731200,0.65,
10/26/15,1445817600,0.74,
10/27/15,1445904000,0.87,
10/28/15,1445990400,1.01,
10/29/15,1446076800,1.16,
10/30/15,1446163200,1.04,
10/31/15,1446249600,0.89,
11/1/15,1446336000,1.05,
11/2/15,1446422400,0.96,
11/3/15,1446508800,1,
11/4/15,1446595200,0.87,
11/5/15,1446681600,0.89,
11/6/15,1446768000,0.92,
11/7/15,1446854400,0.92,
11/8/15,1446940800,1.02,
11/9/15,1447027200,1,
11/10/15,1447113600,0.92,
11/11/15,1447200000,0.78,
11/12/15,1447286400,0.89,
11/13/15,1447372800,0.89,
11/14/15,1447459200,0.89,
11/15/15,1447545600,0.9,
11/16/15,1447632000,0.94,
11/17/15,1447718400,1,
11/18/15,1447804800,0.99,
11/19/15,1447891200,0.95,
11/20/15,1447977600,0.93,
11/21/15,1448064000,0.97,
11/22/15,1448150400,0.96,
11/23/15,1448236800,0.94,
11/24/15,1448323200,0.91,
11/25/15,1448409600,0.86,
11/26/15,1448496000,0.88,
11/27/15,1448582400,0.87,
11/28/15,1448668800,0.91,
11/29/15,1448755200,0.87,
11/30/15,1448841600,0.88,
12/1/15,1448928000,0.87,
12/2/15,1449014400,0.83,
12/3/15,1449100800,0.82,
12/4/15,1449187200,0.84,
12/5/15,1449273600,0.85,
12/6/15,1449360000,0.84,
12/7/15,1449446400,0.8,
12/8/15,1449532800,0.83,
12/9/15,1449619200,0.79,
12/10/15,1449705600,0.84,
12/11/15,1449792000,0.91,
12/12/15,1449878400,0.97,
12/13/15,1449964800,0.96,
12/14/15,1450051200,0.99,
12/15/15,1450137600,1.01,
12/16/15,1450224000,0.99,
12/17/15,1450310400,0.94,
12/18/15,1450396800,0.91,
12/19/15,1450483200,0.9,
12/20/15,1450569600,0.9,
12/21/15,1450656000,0.89,
12/22/15,1450742400,0.87,
12/23/15,1450828800,0.85,
12/24/15,1450915200,0.85,
12/25/15,1451001600,0.87,
12/26/15,1451088000,0.85,
12/27/15,1451174400,0.85,
12/28/15,1451260800,0.84,
12/29/15,1451347200,0.87,
12/30/15,1451433600,0.9,
12/31/15,1451520000,0.93,
1/1/16,1451606400,0.93,
1/2/16,1451692800,0.93,
1/3/16,1451779200,0.97,
1/4/16,1451865600,0.95,
1/5/16,1451952000,0.95,
1/6/16,1452038400,0.96,
1/7/16,1452124800,0.95,
1/8/16,1452211200,0.99,
1/9/16,1452297600,0.99,
1/10/16,1452384000,0.99,
1/11/16,1452470400,1.05,
1/12/16,1452556800,1.23,
1/13/16,1452643200,1.13,
1/14/16,1452729600,1.16,
1/15/16,1452816000,1.22,
1/16/16,1452902400,1.22,
1/17/16,1452988800,1.31,
1/18/16,1453075200,1.47,
1/19/16,1453161600,1.37,
1/20/16,1453248000,1.53,
1/21/16,1453334400,1.54,
1/22/16,1453420800,1.52,
1/23/16,1453507200,2.03,
1/24/16,1453593600,2.1,
1/25/16,1453680000,2.5,
1/26/16,1453766400,2.3,
1/27/16,1453852800,2.42,
1/28/16,1453939200,2.55,
1/29/16,1454025600,2.41,
1/30/16,1454112000,2.43,
1/31/16,1454198400,2.2,
2/1/16,1454284800,2.17,
2/2/16,1454371200,2.45,
2/3/16,1454457600,2.53,
2/4/16,1454544000,2.57,
2/5/16,1454630400,2.57,
2/6/16,1454716800,2.53,
2/7/16,1454803200,3,
2/8/16,1454889600,3.16,
2/9/16,1454976000,3.76,
2/10/16,1455062400,4.35,
2/11/16,1455148800,6.38,
2/12/16,1455235200,5.27,
2/13/16,1455321600,5.22,
2/14/16,1455408000,5.2,
2/15/16,1455494400,5.22,
2/16/16,1455580800,4.25,
