,miner,block,transaction_count
0,0x2a65aca4d5fc5b5c859090a6c34d164135398226,448127,2109784
1,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,289103,763002
2,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,158617,549181
3,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,106632,585728
4,0x61c808d82a3ac53231750dadc13c777b59310bd9,78240,563891
5,0xea674fdde714fd979de3edf0f56aa9716b898ec8,58718,447312
6,0x63a9975ba31b0b9626b34300f7f627147df1f526,55651,139315
7,0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,45466,191031
8,0x738db714c08b8a32a29e0e68af00215079aa9c5c,43692,114615
9,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,41733,49903
10,0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,33315,181902
11,0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,31322,24842
12,0x790b8a3ce86e707ed0ed32bf89b3269692a23cc1,29210,66353
13,0xbcdfc35b86bedf72f0cda046a3c16829a2ef41d1,28142,227740
14,0x580992b51e3925e23280efb93d3047c82f17e038,24139,33785
15,0x95581ea0c5b362933f3523138f54d51eae817211,23775,71243
16,0xa027231f42c80ca4125b5cb962a21cd4f812e88f,23770,82641
17,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,23104,22191
18,0xbb7b8287f3f0a933474a79eae42cbca977791171,17528,18815
19,0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,14383,94578
20,0xf466ec23d841922abc3b0056f929a3d7c8b91814,10795,20321
21,0xd34da389374caad1a048fbdc4569aae33fd5a375,7898,46146
22,0x1a060b0604883a99809eb3f798df71bef6c358f1,6754,49428
23,0x88d74a59454f6cf3b51ef6b9136afb6b9d405a88,6688,3569
24,0xd8ddb0070aee305fc05be67ecab7e2979e940404,5940,17231
25,0x9d551f41fed6fc27b719777c224dfecce170004d,5809,8879
26,0x9746c7e1ef2bd21ff3997fa467593a89cb852bd0,5755,4009
27,0xcb3a3acc2a80678f1a3ec72d6593ab47ccf1b8e0,5268,7850
28,0x7e6930b63d03e88f5928c5cd6ee3fcee4d714f7f,5014,5259
29,0x8722141eeebeceb88c2891ce30925396f4be2d69,4569,9651
30,0x8950cfd22b20eea0cec121858ba91c2c23c12e16,4320,7772
31,0x8d8dfbd04db0942d79bb1bb038e8876bb67ff825,4093,10266
32,0x30b6ef1ea77dc4e114c6a7865869b932503f4e6d,3916,30288
33,0xe2fe6b13287f28e193333fdfe7fedf2f6df6124a,3795,9153
34,0x24f03a0786f459be40c38ba1c47714e08f9947e5,3761,11829
35,0xef247e639d49461d25f57e9362cade3120910ce0,3595,4696
36,0x22a0fbf89ad1362d74f626436d8c4fc6dc4f0679,3357,7475
37,0xe409d18384025b84ce2f77e21db73aade4c3cf67,3320,6514
38,0xf8e0ca3ed80bd541b94bedcf259e8cf2141a9523,3133,1437
39,0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,3041,14759
40,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,2958,3449
41,0xe48430c4e88a929bba0ee3dce284866a9937b609,2814,4195
42,0xa50ec0d39fa913e62f1bae7074e6f36caa71855b,2762,1048
43,0xb12d3c37869c203ad576b253c891975d278c7e5b,2686,18310
44,0xb6e2d440c46510ec44266a3f58165e3956173df0,2598,4971
45,0xd3d038bcb4f2450c592381f8bb4bee860532ee9d,2490,20436
46,0x623d2411c3bb3340784155f9a688b0085251ab5c,2472,3256
47,0x0c729be7c39543c3d549282a40395299d987cec2,2440,6986
48,0xa5a57098907037cd613d46c2c2ca3e65752d906e,2376,5648
49,0xa6bdc31c431b8f97848c9d60cbbe9660dc450eb7,2280,5152
50,0x7a1458f33122080819a2483f2a16034cd8cb0b95,2120,14970
51,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,2026,16283
52,0x1b01460fe8e17173d8659cdf4ee3ec7136e58179,1890,5991
53,0xad5c1768e5974c231b2148169da064e61910f31a,1773,3219
54,0x0037ce3d4b7f8729c8607d8d0248252be68202c0,1715,1429
55,0x4e2f2f1d8e0870cd073a0286cbc99c911053446b,1711,3317
56,0xe8f3b0ad85889a12b3d59d0b2dc257b08793e9f8,1663,4631
